artist,album,album_art,scrobb_num
Andrew Bird,Without A Leg To Stand On,https://lastfm.freetls.fastly.net/i/u/300x300/800f712d15fb53aa4f25bf3bb4f1d09f.jpg,4
Andrew Judah,Day 2,https://lastfm.freetls.fastly.net/i/u/300x300/2aecfc67cb45d510e4a1d60477143fea.png,1
Andy Shauf,Norm,https://lastfm.freetls.fastly.net/i/u/300x300/c4c47e541102d873cacee9b018c80602.jpg,2
Andy Velo,Once You Go Country,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Aneesa Folds,Warriors,https://lastfm.freetls.fastly.net/i/u/300x300/93a563522a4dfefaa258bc70d86cba38.jpg,3
Angel Olsen,Big Time,https://lastfm.freetls.fastly.net/i/u/300x300/0bdd4f056da32aa74c32769fb45c7db0.jpg,1
Angel Olsen,Phases,https://lastfm.freetls.fastly.net/i/u/300x300/83ca4c1dbbc856cf61cb73f0a4078dc1.jpg,2
Angelo De Augustine,Spirals Of Silence,https://lastfm.freetls.fastly.net/i/u/300x300/37a46cd746e34a4ccab9e06f7b2680da.jpg,8
Angie McMahon,"Light, Dark, Light Again",https://lastfm.freetls.fastly.net/i/u/300x300/82eb3e27ea3e9c3ace533ca615629900.jpg,1
Angourie Rice,Mean Girls (Music From The Motion Picture),https://lastfm.freetls.fastly.net/i/u/300x300/d68e8518394d8c574e94b626bfe72dc5.jpg,2
Angry Blackmen,The Legend of ABM,https://lastfm.freetls.fastly.net/i/u/300x300/afc99bd17c74e1b816a945a1fc0fbccd.jpg,3
Angus & Julia Stone,Down the Way,https://lastfm.freetls.fastly.net/i/u/300x300/af66539e54a44c35875dca6623b0c792.png,1
Angèle,Brol,https://lastfm.freetls.fastly.net/i/u/300x300/5e0b9137844dcebe40af7ba79dce97e4.png,1
Ani DiFranco,Unprecedented Sh!t,https://lastfm.freetls.fastly.net/i/u/300x300/ed18ee734ee1ef4c9ba7f992eaef505b.png,2
Anika Pyle,Four Corners,https://lastfm.freetls.fastly.net/i/u/300x300/8d3ee0bb2dfb8734d3d4a52bf2204ec3.jpg,3
Anika Pyle,Wild River,https://lastfm.freetls.fastly.net/i/u/300x300/0ad68197ea479f3bb90e42a5283efe8f.jpg,3
Anitta,Funk Generation,https://lastfm.freetls.fastly.net/i/u/300x300/23df4b1c613925e74e256cea28a4b804.jpg,2
Anna Ash,The Love You Leave,https://lastfm.freetls.fastly.net/i/u/300x300/4601bf6731fd656e03f4a6b300e7789f.jpg,1
Anna Burch,If You're Dreaming,https://lastfm.freetls.fastly.net/i/u/300x300/1607d4b3d855ce30b51742e3400d824a.jpg,3
Anna Burch,Quit the Curse,https://lastfm.freetls.fastly.net/i/u/300x300/1a679018036fd4d697a1ce76de3a0b4e.jpg,17
Anna St. Louis,Farther Away,https://lastfm.freetls.fastly.net/i/u/300x300/24db1682477ff0ff85d9827f2d52b965.jpg,1
Anna St. Louis,In The Air,https://lastfm.freetls.fastly.net/i/u/300x300/37b63270e983c82b2c2f687d01d9e8a3.jpg,31
Annabel,Worldviews,https://lastfm.freetls.fastly.net/i/u/300x300/225eb0d72a87a88e8b300d45085b5082.jpg,30
Annabel,Youth in Youth,https://lastfm.freetls.fastly.net/i/u/300x300/bf1ab6fb80ce4090949801dc64fcdc1f.jpg,2
Annabelle Chairlegs,Gotta Be In Love,https://lastfm.freetls.fastly.net/i/u/300x300/5c4e017778905d624abf3f31fb715bd1.jpg,1
