id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10518,Sierra Ferrell,American Dreaming,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714762814
10519,Charlotte Day Wilson,Canopy,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753671
10520,Charlotte Day Wilson,Canopy,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753670
10521,Charlotte Day Wilson,Last Call,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753581
10522,Charlotte Day Wilson,Last Call,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753580
10523,Charlotte Day Wilson,New Day,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753350
10524,Charlotte Day Wilson,New Day,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753349
10525,Charlotte Day Wilson,Do U Still,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714753101
10526,"Charlotte Day Wilson, Snoh Aalegra",Forever,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/fc9c64f1fb07a3976aa9e33ef8d9431a.jpg,0,1714752904
10527,Charlotte Day Wilson,Forever,Cyan Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ff887fc1817b282cb3d8104c07b2c4f.png,0,1714752903
