id,artist,title,album,release_date,album_art,timestamp
147,Michael Kiwanuka,Lowdown (part i),Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732400373
148,Michael Kiwanuka,Rebel Soul,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732400166
149,Michael Kiwanuka,One And Only,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732399894
150,Michael Kiwanuka,Small Changes,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732399648
151,Michael Kiwanuka,Floating Parade,Small Changes,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/52e7ac80552fb6377c37741fce858968.png,1732399418
152,Say Lou Lou,In My Dreams,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732379433
153,Say Lou Lou,No One,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732379231
154,Say Lou Lou,Defenseless,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732364575
155,Say Lou Lou,Above Love,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732364411
156,Say Lou Lou,Casual Man,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732364238
157,Say Lou Lou,Wish I Could Hold You,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732364007
158,Say Lou Lou,Dust,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732363788
159,Say Lou Lou,Wong Kar-wai,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732363139
160,Say Lou Lou,Waiting for a Boy,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732362852
161,Say Lou Lou,Blue Ruin,Dust,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/bd211cf846781790bd792134e26c1ade.png,1732362602
162,Kendrick Lamar,gloria,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732362073
163,Kendrick Lamar,gnx,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732361880
